Date,ADS.DE,BMW.DE,DBK.DE,FRE.DE,LIN.DE,SAP.DE,^GDAXI,ALV.DE,CBK.DE,DPW.DE,HEI.DE,LXS.DE,SDF.DE,BAS.DE,BAYN.DE,BEI.DE,CON.DE,DAI.DE,DB1.DE,DTE.DE,EOAN.DE,FME.DE,HEN3.DE,IFX.DE,LHA.DE,MRK.DE,MUV2.DE,RWE.DE,SIE.DE,TKA.DE,VOW3.DE
2018-04-03,195.3000030517578,88.68000030517578,11.161999702453613,61.15999984741211,163.0,84.25,12002.4501953125,183.39999389648438,10.38599967956543,34.970001220703125,79.13999938964844,62.0,23.34000015258789,81.88999938964844,89.22789764404297,90.45999908447266,221.1999969482422,68.55999755859375,110.6500015258789,13.130000114440918,9.048999786376953,82.44000244140625,104.80000305175781,21.290000915527344,25.719999313354492,77.22000122070312,188.3000030517578,19.94499969482422,102.0,21.309999465942383,162.3800048828125
2018-04-04,197.8000030517578,87.41000366210938,11.168000221252441,61.13999938964844,161.25,84.05999755859375,11957.900390625,182.72000122070312,10.255999565124512,34.88999938964844,78.55999755859375,60.5,23.270000457763672,82.01000213623047,89.95610046386719,91.69999694824219,218.6999969482422,68.11000061035156,110.25,13.114999771118164,9.015000343322754,80.9000015258789,105.5999984741211,20.649999618530273,24.969999313354492,78.0999984741211,189.39999389648438,19.979999542236328,101.13999938964844,21.010000228881836,161.5
2018-04-05,204.1999969482422,88.69999694824219,11.65999984741211,63.939998626708984,166.0500030517578,86.66000366210938,12305.1904296875,187.39999389648438,10.666000366210938,36.119998931884766,80.95999908447266,62.31999969482422,24.170000076293945,84.4000015258789,92.68209838867188,93.5999984741211,222.8000030517578,69.61000061035156,112.6500015258789,13.454999923706055,9.064000129699707,83.22000122070312,108.0999984741211,21.360000610351562,25.829999923706055,80.69999694824219,193.6999969482422,20.100000381469727,104.69999694824219,21.920000076293945,167.1199951171875
2018-04-06,203.6999969482422,88.97000122070312,11.35200023651123,63.380001068115234,164.85000610351562,86.47000122070312,12241.26953125,186.66000366210938,10.538000106811523,35.97999954223633,80.37999725341797,61.79999923706055,24.170000076293945,83.98999786376953,92.12110137939453,92.9800033569336,222.6999969482422,65.33000183105469,112.19999694824219,13.449999809265137,9.019000053405762,82.91999816894531,107.4000015258789,21.18000030517578,26.350000381469727,80.5,192.0500030517578,20.110000610351562,104.5,21.639999389648438,165.0
2018-04-09,202.60000610351562,88.33999633789062,11.484000205993652,64.0,163.64999389648438,87.37000274658203,12261.75,187.4199981689453,10.54800033569336,35.900001525878906,81.08000183105469,61.720001220703125,24.200000762939453,83.52999877929688,91.94400024414062,93.19999694824219,222.10000610351562,64.94999694824219,114.9000015258789,13.515000343322754,8.979999542236328,83.23999786376953,107.0,21.260000228881836,26.670000076293945,80.66000366210938,193.25,20.209999084472656,105.0,21.68000030517578,164.25999450683594
2018-04-10,205.5,89.98999786376953,11.432000160217285,63.959999084472656,167.4499969482422,87.51000213623047,12397.3203125,188.47999572753906,10.937999725341797,36.52000045776367,81.19999694824219,61.79999923706055,24.25,84.04000091552734,96.293701171875,92.76000213623047,228.3000030517578,65.73999786376953,114.5,13.555000305175781,8.91100025177002,83.54000091552734,104.19999694824219,21.389999389648438,26.8799991607666,80.68000030517578,194.1999969482422,20.09000015258789,105.30000305175781,22.15999984741211,171.5800018310547
2018-04-11,206.5,89.87000274658203,11.489999771118164,62.599998474121094,165.0,86.83999633789062,12293.9697265625,186.4199981689453,10.64799976348877,36.02000045776367,79.4000015258789,61.58000183105469,23.8700008392334,82.9800033569336,95.45719909667969,92.26000213623047,225.3000030517578,65.25,111.55000305175781,13.850000381469727,8.852999687194824,82.04000091552734,103.19999694824219,21.309999465942383,26.190000534057617,80.27999877929688,190.64999389648438,20.110000610351562,103.87999725341797,21.940000534057617,173.16000366210938
2018-04-12,210.3000030517578,89.93000030517578,11.668000221252441,64.0,166.8000030517578,87.73999786376953,12415.009765625,188.63999938964844,10.814000129699707,36.34000015258789,79.19999694824219,61.97999954223633,23.600000381469727,83.94999694824219,96.93340301513672,92.58000183105469,225.3000030517578,65.47000122070312,108.80000305175781,13.869999885559082,8.95300006866455,82.69999694824219,103.80000305175781,21.809999465942383,26.989999771118164,80.94000244140625,191.0500030517578,20.700000762939453,104.72000122070312,22.1299991607666,176.60000610351562
2018-04-13,210.60000610351562,91.33000183105469,11.699999809265137,64.05999755859375,165.0,87.97000122070312,12442.400390625,189.4199981689453,10.75,36.470001220703125,79.72000122070312,62.68000030517578,23.459999084472656,84.12000274658203,97.08100128173828,93.16000366210938,225.0,65.6500015258789,109.05000305175781,13.949999809265137,8.989999771118164,82.83999633789062,103.0999984741211,21.6200008392334,26.489999771118164,81.44000244140625,191.35000610351562,20.850000381469727,104.86000061035156,22.34000015258789,177.27999877929688
2018-04-16,210.6999969482422,90.66000366210938,11.600000381469727,63.900001525878906,165.0,87.19999694824219,12391.41015625,189.47999572753906,10.736000061035156,36.47999954223633,79.45999908447266,61.70000076293945,23.09000015258789,84.19000244140625,96.42160034179688,92.63999938964844,222.1999969482422,65.30999755859375,109.55000305175781,13.869999885559082,9.00100040435791,82.55999755859375,103.19999694824219,21.600000381469727,26.90999984741211,81.04000091552734,192.1999969482422,20.760000228881836,104.19999694824219,22.18000030517578,172.13999938964844
